[2024-04-24 12:36:00,418] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,468] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 1414 with partition epoch 0, high watermark 1414, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,469] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,518] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,569] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,619] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,669] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,720] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,770] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,829] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,888] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:00,946] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
